카드사,상품명,전월실적,연회비(국내),연회비(국내외),모든가맹점,교통,주유,마트/편의점,쇼핑,푸드,배달,카페/디저트,뷰티/피트니스,생활요금,의료,애완동물,자동차/하이패스,레져/스포츠,영화/문화,간편결제,항공,프리미엄,여행/숙박,해외,디지털구독,멤버십,교육/육아,금융,기타
신한,수소차 충전할인 신한카드,30,2,2.3,,,1,1,,,1,,,,,,1,,,,,,,,,,,,
신한,신세계 The BLOSSOM 신한카드,50,4.5,4.8,,,,,1,,1,1,1,,,,,,1,,,1,,,,1,,,
신한,신한카드 Lesson Platinum#,30,,2.7,,,,,,,,,,1,,,,,1,,,1,,,,,1,,
신한,위버스 신한카드(BTS),30,3.5,3.5,,1,,1,1,,,1,1,,,,,,,,,,,,1,,,,
신한,홈플러스 스페셜 신한카드,50,1.5,1.8,1,,,1,,,,,,,,,,,,,,,,,,,,,
신한,GS칼텍스 신한카드 Shine,20,,0.7,,1,1,,,,,,,,,,,1,1,,,,,,,,,,
신한,L.PAY 신한카드,0,1.7,2,,1,,,,,,,,,,,,,,,,,,,,,,,
신한,넷마블 신한카드,40,1,1.3,,,,1,,,,1,,,,,,,1,,,,,,,,,,
신한,리디 신한카드,30,,1,,,,,1,,,1,1,,,,,,1,,,,,,,,,,
신한,신한라이프 THE PRIDE 신한카드,0,1.5,1.8,,,,1,,,1,,,,1,,,1,,,,,,,,,,,
신한,신한카드 Deep Store,30,,1.3,,,,1,1,,,1,,,,,,,1,,,,,,,,,,
신한,신한카드 My TeenS,0,0.1,,,,,1,,,,,,,,,,,,,,,,,,,,,
신한,신한카드 봄,0,1.7,2,,1,,,,,,,,,,,,,,,,,,,1,,,,1
신한,Paydays 신한카드,0,1.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
신한,신세계사이먼 프리미엄 아울렛 신한카드,40,2,2.3,,,1,,1,,,,,,,,,,,,,,,,,1,,,
신한,신한카드 혼디모앙,0,3,3.3,,1,1,1,1,,,,,1,,,,1,,,,,,,,,,,
신한,위버스 신한카드(TXT),30,3.5,3.5,,1,,,1,,,1,1,,,,,,,,,,,,1,,,,
신한,대성학원 신한카드,30,3,3.3,,,1,,,,,,,,,,,1,,,,,,,,,1,,
신한,더본 신한카드,0,,1,,1,,1,,1,,1,,,,,,,1,,,,,,,,,,
신한,메가쇼핑 신한카드,0,1.2,1.5,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
신한,신한 햇살론카드,30,0.5,,,,,,1,,,1,,,,,,,,,,,,,,,,,
신한,신한카드 Applus,30,1.5,1.5,,,,1,1,,1,1,,1,,,,,,,,,,1,,,,,
신한,신한카드 봄(도구리),0,1.7,2,,1,,,,,,,,,,,,,,,,,,,1,,,,1
신한,위버스 신한카드(SEVENTEEN),30,3.5,3.5,,1,,1,1,,,1,1,,,,,,,,,,,,1,,,,
신한,LG BEST SHOP 486 신한카드,50,2.2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,1
신한,Z:IN 인테리어 신한카드,0,2.2,2.5,,,,,1,,,,,,,,,,,,,,,,,,,,1
신한,건담 신한카드,30,1.5,1.8,,1,,,1,1,,,,,,,,,1,,,,,,,,,,
신한,땡겨요 신한카드,30,1.5,1.8,,,,1,,,1,,,,,,,,,,,,,,,,,,
신한,베베쿡 신한카드,50,1.5,1.5,,,,,1,,,1,1,,,,,,1,,,,,,,,1,,
신한,아모레퍼시픽 신한카드,30,1.7,2,,,,1,1,,,,1,,,,,,,,,,,,,,,,
신한,위버스 신한카드(ENHYPEN),30,3.5,3.5,,1,,1,1,,,1,1,,,,,,,,,,,,1,,,,
신한,제주신화월드 신한카드,50,1.5,1.8,,,1,,1,,,1,1,,,,,,1,,,,1,,,,,,
삼성,삼성카드 & MILEAGE PLATINUM (스카이패스),0,4.7,4.9,,1,1,1,1,,,1,,,,,,,,,1,1,,,,,,,
